time,lat,lon,alt,sds01-pm2.5,sds01-pm10,sds01-TSP,sds02-pm2.5,sds02-pm10,sds02-TSP,sds03-pm2.5,sds03-pm10,sds03-TSP,sds04-pm2.5,sds04-pm10,sds04-TSP
2019-07-16 10:40:47,53.780786302,-1.731630652,187.003,4.2,8.0,9.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:41:07,53.782619397,-1.733501245,174.252,5.0,10.6,13.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:41:27,53.784440558,-1.735740261,159.555,5.6,10.0,13.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:41:47,53.786330991,-1.738841206,143.52,6.7,12.5,16.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:42:07,53.787077777,-1.740662584,141.278,6.5,14.3,18.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:42:27,53.788322347,-1.742932929,139.369,6.8,11.1,15.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:42:47,53.788572454,-1.744977413,135.728,6.3,9.0,12.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:43:07,53.787946531,-1.744875146,134.932,5.7,9.5,12.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:43:27,53.787543163,-1.744719334,133.933,6.2,9.9,13.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:43:47,53.787536965,-1.744714162,131.365,6.7,11.9,16.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:44:07,53.78753294,-1.744728671,129.871,5.9,9.2,12.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:44:27,53.787520329,-1.744732443,128.593,5.6,11.9,15.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:44:47,53.787512552,-1.744720455,132.4,5.4,9.9,12.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:45:07,53.787508941,-1.744713875,134.826,4.8,8.9,11.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:45:27,53.787524268,-1.744732462,135.238,4.7,8.0,10.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:45:47,53.787547916,-1.74473032,129.444,4.8,9.4,11.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:46:07,53.787543708,-1.744716012,130.059,4.8,11.7,14.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:46:27,53.787485357,-1.744734427,130.464,4.9,10.6,13.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:46:47,53.787409084,-1.74469323,127.435,5.2,8.5,11.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:47:08,53.786738974,-1.744474439,121.442,4.9,7.0,9.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:47:28,53.786482008,-1.746244954,123.791,5.1,9.6,12.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-16 10:47:48,53.786418515,-1.747281303,122.644,5.4,13.5,16.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
